Assembly,Partners,PartnerWeight,EdgeWeight,Predecessor,Successor
ASSY - FUEL CELL STACK,"Siltrax	",6,0,"ASSY - BATTERY  PACK, ASSY - FUEL SENSOR ARRAY","ASSY - HYDROGEN SENSOR ARRAY, ASSY - FUEL CELL STACK, ASSY - HYDROGEN CONTROL SYSTEM, ASSY - HYDROGEN SUPPLY LINE, ASSY - HYDROGEN COOLING SYSTEM, ASSY - HYDROGEN COMPARTMENT STRUCTURE, "
ASSY - HYDROGEN COOLING SYSTEM,Sunswift,0,0,"ASSY - FUEL CELL STACK, ASSY - REAR FLUID MANAGEMENT, ASSY - FRONT FLUID MANAGEMENT  ","ASSY - P&ID HYDROGEN DOWNSTREAM LINE, ASSY - FC ELECTRICAL CONNECTIONS"
ASSY - FUEL CELL ELECTRICAL CONNECTIONS,Sunswift,0,0,"ASSY - FUEL CELL STACK, ASSY - POWER ELECTRONICS  ",ASSY - HYDROGEN SYSTEM PERFORMANCE DISPLAY
ASSY - P&ID HYDROGEN DOWNSTREAM LINE,"Swagelok	",6,0,"ASSY - FUEL CELL STACK, ASSY - HYDROGEN SUPPLY LINE, ASSY - HYDROGEN PURGE MANAGEMENT  ",ASSY - P&ID AIR SUPPLY LINE
ASSY - P&ID AIR SUPPLY LINE ,"Beswick, Swagelok",8,0,"ASSY - REARWHEEL HUB AIR INTAKE, ASSY - AIR SOURCE  ",ASSY - OCCUPANT CELL SHUTDOWN VALVE
ASSY- P&ID AIR EXHAUST LINE,"Sunswift, Beswick, Swagelok",8,0,"ASSY - REARWHEEL HUB AIR INTAKE, ASSY - AIR SOURCE  , ASSY - P&ID AIR SUPPLY LINE ",ASSY - OCCUPANT CELL SHUTDOWN VALVE
ASSY - REARWHEEL HUB AIR INTAKE ,Sunswift,0,0,ASSY - HYDROGEN COMPARTMENT STRUCTURE  ,ASSY - HYDROGEN CONTROL LOGIC
ASSY - HYDROGEN  CONTROL SYSTEM,"Siltrax, External Supplier (TBA)",12,0,"ASSY - HYDROGEN CONTROL LOGIC, ASSY - ECS, ASSY - FC ELECTRICAL CONNECTIONS",N/A
ASSY - HYDROGEN STORAGE SYSTEM,Sunswift,0,0,"ASSY - REARWHEEL HUB AIR INTAKE, ASSY - AIR SOURCE  ","ASSY - OCCUPANT CELL SHUTDOWN VALVE, ASSY - P&ID AIR SUPPLY LINE"
ASSY - HYDROGEN CONTROL SYSTEM,Sunswift,0,0,N/A,N/A
ASSY - FUEL CELL ANCILLARY SYSTEM,Sunswift,0,0,N/A,N/A
ASSY - FUEL CELL MONITORING SYSTEM,Sunswift,0,0,N/A,N/A
ASSY - FUEL CELL COOLING SYSTEM,Sunswift,0,0,N/A,N/A
ASSY - FUEL CELL SENSOR,Sunswift,0,0,N/A,N/A
ASSY - POWER ELECTRONICS,Sunswift,0,0,N/A,N/A
ASSY - C-V2V RADAR/LiDAR,Sunswift,0,12,N/A,ASSY - FRONT CLAMSHELL
ASSY - INTERNAL EMBEDDED NETWORK WIRING,Sunswift,0,2,"ASSY- HORN PCB, ASSY - HEADLIGHT/INDICATOR PCB - RH, ASSY - HEADLIGHT/INDICATOR PCB - LH, ASSY-  HORN PCB, ASSY - TAILLIGHT/INDICATOR PCB- LH, ASSY - TAILLIGHT/INDICATOR PCB - RH, ASSY - CENTRAL STOP LAMP PCB, ASSY - STEERING WHEEL PCB, ASSY - CENTRAL DISPLAY, ASSY - DRIVER DISPLAY, ASSY - PEDAL BOX CONTROLLER, ASSY - DRIVE CONTROL UNIT, ASSY - MAIN COMPUTER, ASSY - SUBWOOFER, ASSY - C-V2V RADAR/LiDAR, ASSY - C-V2V ANTENNA, ASSY - C-V2X PCB, ASSY - DOOR AUDIO - LH, ASSY - DOOR AUDIO - RH, ASSY - SUBWOOFER, ASSY - AUDIO CONTROL SYSTEM","ASSY - OCCUPANT CELL SPIDER, ASSY - OCCUPANT CELL TUB, ASSY - STEERING COLUMN MOUNT, ASSY - FRONT CRASH STRUCTURE, ASSY - REAR CRASH STRUCTURE, ASSY - CHASSIS VENTILATION, ASSY - REAR BUMPER, ASSY - REAR QUARTER PANEL - LH, ASSY - REAR QUARTER PANEL  - RH, ASSY - FRONT CLAM SHELL, ASSY - REAR FLOOR, ASSY - REAR SUPPORT, STRUCTURE, ASSY - BOOT, ASSY - BONNET"
ASSY - CYBERSECURITY MVP,Sunswift,0,0,N/A,N/A
ASSY - PERFORMANCE OPTIMISATION MVP,Sunswift,0,0,N/A,N/A
ASSY - TELEMETRY MVP,Sunswift,0,12,"ASSY - PERFORMANCE OPTIMSATION, ASSY - SUNSWIFT PHONE APP, ASSY - SENSORS",N/A
ASSY - TRACKSIDE RADIO COMMUNICATION MVP,Sunswift,0,0,N/A,N/A
ASSY - TRIP ENERGY PREDICTION MVP,Sunswift,0,0,"ASSY - TELEMETRY, ASSY - SENSORS, ASSY - INFOTAINMENT",N/A
ASSY - HUMAN MACHINE INTERFACE (HMI) MVP,Sunswift,0,0,"ASSY - HMI, ASSY - INFOTAINMENT, ASSY - BLUETOOTH CONNECTIVITY, ASSY - APPLE & ANDROID COMPATABILITY, ASSY - SUNSWIFT PHONE APP",N/A
